GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1951-02-19,0,1,1,BOS
1951-02-21,1,0,1,TOR
1951-02-25,0,0,0,NYR
1951-02-28,0,1,1,BOS
1951-03-03,1,0,1,MTL
1951-03-05,1,1,2,TOR
1951-03-07,2,0,2,TOR
1951-03-10,1,1,2,NYR
1951-03-11,0,0,0,CHI
1951-03-15,2,0,2,BOS
1951-03-17,3,1,4,CHI
1951-03-18,1,0,1,CHI
1951-03-21,0,1,1,NYR
1951-03-24,1,0,1,MTL
1951-03-25,0,0,0,MTL
1951-10-11,0,0,0,BOS
1951-10-14,0,0,0,TOR
1951-10-18,1,1,2,CHI
1951-10-20,1,1,2,MTL
1951-10-22,0,1,1,MTL
1951-10-27,1,0,1,TOR
1951-10-29,0,0,0,TOR
1951-11-01,0,0,0,BOS
1951-11-03,0,0,0,MTL
1951-11-04,1,0,1,NYR
1951-11-06,0,0,0,BOS
1951-11-07,1,0,1,NYR
1951-11-10,0,1,1,TOR
1951-11-11,0,1,1,MTL
1951-11-15,1,1,2,CHI
1951-11-18,2,0,2,NYR
1951-11-20,0,0,0,BOS
1951-11-22,1,1,2,NYR
1951-11-24,0,0,0,CHI
1951-11-25,1,0,1,CHI
1951-11-29,0,1,1,BOS
1951-12-02,0,1,1,TOR
1951-12-05,0,1,1,TOR
1951-12-08,1,0,1,MTL
1951-12-09,0,0,0,MTL
1951-12-13,0,1,1,TOR
1951-12-15,0,0,0,CHI
1951-12-16,0,0,0,NYR
1951-12-18,1,1,2,BOS
1951-12-20,1,0,1,CHI
1951-12-23,1,1,2,MTL
1951-12-25,0,0,0,NYR
1951-12-26,0,0,0,NYR
1951-12-29,2,1,3,CHI
1951-12-31,3,0,3,MTL
1952-01-02,0,0,0,NYR
1952-01-06,1,1,2,BOS
1952-01-10,2,0,2,NYR
1952-01-12,1,0,1,TOR
1952-01-13,0,1,1,TOR
1952-01-17,0,1,1,BOS
1952-01-19,1,0,1,MTL
1952-01-20,0,1,1,NYR
1952-01-24,0,2,2,TOR
1952-01-26,1,1,2,CHI
1952-01-27,0,0,0,CHI
1952-01-29,0,1,1,BOS
1952-02-02,0,1,1,MTL
1952-02-03,1,2,3,NYR
1952-02-07,1,1,2,MTL
1952-02-10,1,1,2,BOS
1952-02-13,1,0,1,TOR
1952-02-14,2,0,2,CHI
1952-02-18,2,1,3,BOS
1952-02-20,1,0,1,NYR
1952-02-23,1,1,2,TOR
1952-02-24,0,0,0,CHI
1952-02-26,2,1,3,BOS
1952-02-28,0,2,2,MTL
1952-03-02,2,0,2,NYR
1952-03-03,0,0,0,CHI
1952-03-06,0,0,0,BOS
1952-03-08,1,0,1,TOR
1952-03-09,1,2,3,TOR
1952-03-11,1,0,1,BOS
1952-03-15,0,1,1,CHI
1952-03-16,0,1,1,CHI
1952-03-20,2,1,3,NYR
1952-03-22,0,1,1,MTL
1952-03-23,3,1,4,MTL
1952-10-09,1,0,1,NYR
1952-10-11,0,0,0,MTL
1952-10-12,1,1,2,TOR
1952-10-14,0,1,1,CHI
1952-10-16,1,1,2,CHI
1952-10-19,1,0,1,MTL
1952-10-22,1,1,2,TOR
1952-10-25,0,0,0,MTL
1952-10-26,1,0,1,NYR
1952-10-30,0,1,1,BOS
1952-11-02,1,0,1,TOR
1952-11-06,0,0,0,BOS
1952-11-08,0,2,2,TOR
1952-11-09,0,1,1,NYR
1952-11-13,0,2,2,BOS
1952-11-16,1,0,1,BOS
1952-11-19,0,0,0,NYR
1952-11-22,1,2,3,CHI
1952-11-23,0,0,0,CHI
1952-11-27,1,0,1,MTL
1952-11-29,1,0,1,TOR
1952-11-30,2,1,3,TOR
1952-12-04,1,0,1,NYR
1952-12-06,0,0,0,CHI
1952-12-07,0,0,0,BOS
1952-12-11,2,2,4,BOS
1952-12-13,1,0,1,TOR
1952-12-14,0,0,0,MTL
1952-12-18,0,1,1,TOR
1952-12-20,0,0,0,NYR
1952-12-21,0,2,2,NYR
1952-12-25,2,0,2,CHI
1952-12-27,0,0,0,MTL
1952-12-28,2,2,4,BOS
1952-12-31,0,0,0,MTL
1953-01-04,1,1,2,CHI
1953-01-08,0,1,1,BOS
1953-01-11,3,1,4,TOR
1953-01-14,0,1,1,NYR
1953-01-15,2,0,2,BOS
1953-01-17,1,0,1,MTL
1953-01-18,1,0,1,MTL
1953-01-22,1,0,1,NYR
1953-01-24,0,0,0,TOR
1953-01-25,1,2,3,MTL
1953-01-29,3,1,4,CHI
1953-01-31,1,0,1,CHI
1953-02-01,2,3,5,TOR
1953-02-05,1,0,1,NYR
1953-02-07,1,0,1,MTL
1953-02-08,0,2,2,BOS
1953-02-11,0,1,1,NYR
1953-02-12,0,0,0,BOS
1953-02-15,2,0,2,CHI
1953-02-16,0,1,1,CHI
1953-02-18,0,0,0,TOR
1953-02-19,1,2,3,MTL
1953-02-22,0,1,1,NYR
1953-02-28,0,2,2,MTL
1953-03-02,1,3,4,BOS
1953-03-05,2,3,5,NYR
1953-03-07,0,0,0,TOR
1953-03-08,1,0,1,TOR
1953-03-11,1,0,1,NYR
1953-03-12,0,0,0,BOS
1953-03-14,0,1,1,CHI
1953-03-15,0,0,0,CHI
1953-03-19,2,0,2,BOS
1953-03-21,0,0,0,CHI
1953-03-22,0,0,0,MTL
1953-10-08,1,2,3,NYR
1953-10-10,0,0,0,MTL
1953-10-11,1,2,3,TOR
1953-10-16,0,1,1,CHI
1953-10-17,0,1,1,CHI
1953-10-18,1,0,1,MTL
1953-10-21,0,1,1,TOR
1953-10-24,0,0,0,MTL
1953-10-25,1,0,1,TOR
1953-10-31,0,1,1,BOS
1953-11-01,0,2,2,MTL
