GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1968-10-16,0,1,1,OAK
1968-10-17,0,0,0,LAK
1968-10-19,1,0,1,PIT
1968-10-24,0,1,1,STL
1968-10-26,0,0,0,TOR
1968-10-27,1,0,1,MTL
1968-10-30,0,1,1,MNS
1968-10-31,1,2,3,DET
1968-11-03,0,1,1,CHI
1968-11-06,1,2,3,PHI
1968-11-10,0,0,0,STL
1968-11-13,0,0,0,TOR
1968-11-14,1,0,1,PHI
1968-11-17,1,1,2,OAK
1968-11-21,1,1,2,LAK
1968-11-23,0,1,1,NYR
1968-11-24,3,2,5,TOR
1968-11-27,1,0,1,STL
1968-11-30,0,1,1,NYR
1968-12-01,0,0,0,MNS
1968-12-05,2,0,2,MTL
1968-12-07,0,0,0,DET
1968-12-08,1,1,2,CHI
1968-12-11,0,1,1,NYR
1968-12-14,1,0,1,CHI
1968-12-15,3,0,3,PIT
1968-12-19,0,2,2,LAK
1968-12-21,0,0,0,MTL
1968-12-22,2,0,2,MTL
1968-12-25,0,0,0,OAK
1968-12-28,0,2,2,STL
1968-12-29,0,3,3,DET
1969-01-02,0,1,1,NYR
1969-01-04,2,0,2,MNS
1969-01-09,0,2,2,TOR
1969-01-11,1,2,3,MTL
1969-01-12,0,5,5,PIT
1969-01-15,1,1,2,TOR
1969-01-16,1,0,1,MNS
1969-01-18,1,2,3,PHI
1969-01-19,1,1,2,TOR
1969-01-23,0,0,0,DET
1969-01-25,0,3,3,STL
1969-01-26,1,2,3,MNS
1969-01-29,0,1,1,OAK
1969-01-30,1,2,3,LAK
1969-02-02,1,0,1,DET
1969-02-05,2,2,4,CHI
1969-02-06,0,0,0,STL
1969-02-08,0,3,3,PHI
1969-02-09,0,2,2,OAK
1969-02-11,2,3,5,CHI
1969-02-15,0,0,0,MTL
1969-02-16,0,0,0,CHI
1969-02-26,0,2,2,LAK
1969-02-27,1,2,3,OAK
1969-03-01,1,1,2,NYR
1969-03-02,2,0,2,PIT
1969-03-05,0,2,2,DET
1969-03-08,0,0,0,DET
1969-03-09,1,3,4,LAK
1969-03-11,0,2,2,MNS
1969-03-13,1,0,1,PHI
1969-03-15,1,2,3,TOR
1969-03-16,1,4,5,TOR
1969-03-19,1,0,1,PIT
1969-03-20,0,1,1,CHI
1969-03-22,2,0,2,CHI
1969-03-23,0,1,1,NYR
1969-03-27,0,1,1,NYR
1969-03-29,0,0,0,MTL
1969-03-30,2,0,2,MTL
1969-10-12,0,0,0,NYR
1969-10-15,1,1,2,OAK
1969-10-18,0,0,0,PIT
1969-10-19,1,1,2,PIT
1969-10-22,1,1,2,MNS
1969-10-24,2,0,2,OAK
1969-10-25,0,1,1,LAK
1969-10-29,0,1,1,TOR
1969-11-01,0,0,0,MTL
1969-11-02,2,0,2,TOR
1969-11-05,1,1,2,STL
1969-11-08,0,0,0,DET
1969-11-10,0,1,1,OAK
1969-11-13,1,1,2,DET
1969-11-15,0,0,0,NYR
1969-11-16,1,1,2,LAK
1969-11-21,0,0,0,CHI
1969-11-23,0,0,0,MTL
1969-11-26,0,0,0,NYR
1969-11-27,1,3,4,PHI
1969-11-29,0,0,0,MTL
1969-11-30,0,1,1,TOR
1969-12-04,0,1,1,DET
1969-12-06,0,2,2,CHI
1969-12-07,0,1,1,MNS
1969-12-10,0,1,1,NYR
1969-12-11,0,0,0,NYR
1969-12-13,0,2,2,PHI
1969-12-14,0,1,1,PIT
1969-12-18,0,0,0,STL
1969-12-20,1,1,2,PIT
1969-12-21,0,0,0,MTL
1969-12-25,2,2,4,LAK
1969-12-28,0,1,1,PHI
1969-12-31,0,1,1,DET
1970-01-03,1,1,2,LAK
1970-01-07,2,1,3,OAK
1970-01-10,0,0,0,TOR
1970-01-11,3,1,4,OAK
1970-01-15,2,1,3,LAK
1970-01-17,0,0,0,CHI
1970-01-18,1,1,2,MTL
1970-01-22,1,1,2,PHI
1970-01-24,0,0,0,NYR
1970-01-25,0,1,1,PIT
1970-01-29,2,2,4,MNS
1970-01-31,2,0,2,MTL
1970-02-01,1,0,1,TOR
1970-02-04,1,0,1,CHI
1970-02-05,1,1,2,PHI
1970-02-07,0,1,1,DET
1970-02-08,1,3,4,STL
1970-02-11,0,0,0,STL
1970-02-14,0,1,1,PIT
1970-02-17,0,0,0,OAK
1970-02-18,0,2,2,LAK
1970-02-21,0,2,2,MNS
1970-02-22,0,1,1,CHI
1970-02-26,1,1,2,NYR
1970-02-28,1,0,1,CHI
