GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1991-11-05,0,2,2,BOS
1991-11-08,1,1,2,WIN
1991-11-09,1,0,1,MNS
1991-11-11,1,0,1,NYR
1991-11-13,1,2,3,EDM
1991-11-15,0,0,0,WSH
1991-11-18,0,1,1,QUE
1991-11-20,0,0,0,PHI
1991-11-23,0,0,0,NYI
1991-11-27,1,2,3,NJD
1991-11-29,2,1,3,PHI
1991-11-30,1,1,2,PHI
1991-12-03,0,1,1,EDM
1991-12-05,2,4,6,SJS
1991-12-07,0,0,0,STL
1991-12-10,1,0,1,NYR
1991-12-13,0,3,3,NJD
1991-12-14,0,1,1,WSH
1991-12-17,2,1,3,SJS
1991-12-19,0,1,1,BOS
1991-12-21,1,2,3,NYR
1991-12-23,1,3,4,NYI
1991-12-26,2,5,7,TOR
1991-12-28,0,2,2,WSH
1991-12-29,1,2,3,NYR
1991-12-31,1,1,2,NJD
1992-01-02,0,0,0,NJD
1992-01-16,0,1,1,DET
1992-01-23,0,1,1,BUF
1992-01-25,1,1,2,NYI
1992-01-26,0,2,2,WSH
1992-01-28,0,0,0,WIN
1992-02-15,0,1,1,MNS
1992-02-16,0,2,2,PHI
1992-02-18,0,3,3,TOR
1992-02-20,0,2,2,QUE
1992-02-22,0,0,0,MTL
1992-02-25,1,1,2,WSH
1992-02-27,0,2,2,HFD
1992-02-29,2,0,2,BUF
1992-03-06,1,3,4,SJS
1992-03-07,0,1,1,LAK
1992-03-10,1,1,2,CGY
1992-03-12,1,4,5,NYI
1992-03-14,1,0,1,TOR
1992-03-15,0,1,1,CHI
1992-03-17,0,2,2,EDM
1992-03-19,2,1,3,QUE
1992-03-22,1,1,2,HFD
1992-03-24,1,2,3,DET
1992-03-26,2,4,6,VAN
1992-03-28,1,1,2,MTL
1992-03-31,1,3,4,PHI
1992-04-13,0,1,1,NJD
1992-10-06,1,1,2,PHI
1992-10-08,2,3,5,NYI
1992-10-10,1,1,2,MTL
1992-10-13,1,4,5,BUF
1992-10-15,1,2,3,MTL
1992-10-17,1,1,2,HFD
1992-10-20,1,2,3,VAN
1992-10-22,3,2,5,DET
1992-10-24,1,2,3,NJD
