GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1994-03-18,1,0,1,TOR
1994-03-20,1,2,3,CHI
1994-03-22,0,0,0,PHI
1994-03-23,0,0,0,BUF
1994-03-25,3,0,3,DAL
1994-03-27,1,0,1,SJS
1994-03-30,0,0,0,FLA
1994-04-01,0,0,0,TBL
1994-04-03,1,0,1,DET
1994-04-05,1,0,1,CHI
1994-04-07,1,0,1,LAK
1994-04-08,0,0,0,CHI
1994-04-10,1,0,1,DAL
1994-04-12,0,0,0,DAL
1994-04-14,1,0,1,WIN
1995-01-20,2,2,4,SJS
1995-01-21,0,0,0,VAN
1995-01-24,0,0,0,CGY
1995-01-26,2,0,2,LAK
1995-01-28,0,0,0,VAN
1995-01-31,1,1,2,ANA
1995-02-02,1,1,2,WIN
1995-02-04,3,1,4,DAL
1995-02-07,0,0,0,LAK
1995-02-09,0,0,0,CHI
1995-02-11,0,2,2,WIN
1995-02-13,1,0,1,CGY
1995-02-17,0,1,1,WIN
1995-02-18,1,0,1,TOR
1995-02-20,1,1,2,EDM
1995-02-22,0,0,0,SJS
1995-02-25,0,0,0,DET
1995-02-27,1,0,1,TOR
1995-03-05,0,1,1,DAL
1995-03-07,2,1,3,ANA
1995-03-09,2,0,2,CGY
1995-03-12,1,0,1,DET
1995-03-14,0,0,0,EDM
1995-03-16,0,1,1,LAK
1995-03-19,0,0,0,ANA
1995-03-20,0,0,0,LAK
1995-03-22,1,0,1,CGY
1995-03-26,0,1,1,EDM
1995-03-27,1,0,1,DAL
1995-03-29,0,1,1,CHI
1995-03-31,0,2,2,SJS
1995-04-02,1,1,2,DET
1995-04-03,0,1,1,TOR
1995-04-05,2,0,2,TOR
1995-04-09,0,1,1,DAL
1995-04-11,1,0,1,WIN
1995-04-13,0,0,0,WIN
1995-04-16,4,0,4,DET
1995-04-18,0,0,0,VAN
1995-04-19,0,0,0,CHI
1995-04-21,0,0,0,TOR
1995-04-23,0,0,0,CHI
1995-04-25,0,1,1,DAL
1995-04-27,1,0,1,EDM
1995-04-28,0,1,1,VAN
1995-04-30,0,0,0,SJS
1995-05-01,0,0,0,ANA
1995-05-03,0,0,0,DET
1995-10-07,0,1,1,WSH
1995-10-10,4,0,4,EDM
1995-10-12,0,1,1,DAL
1995-10-14,0,0,0,COL
1995-10-17,0,1,1,BOS
1995-10-19,1,0,1,DAL
1995-10-21,1,0,1,CHI
1995-10-22,0,1,1,BUF
1995-10-25,1,1,2,HFD
1995-10-27,1,1,2,ANA
1995-10-29,0,1,1,WSH
1995-11-01,0,0,0,ANA
1995-11-10,0,0,0,WIN
1995-11-23,0,2,2,VAN
1995-11-25,1,1,2,TOR
1995-11-27,0,0,0,BUF
1995-11-29,1,2,3,MTL
1995-11-30,2,0,2,WIN
1995-12-02,2,1,3,EDM
1995-12-05,0,0,0,CGY
1995-12-08,2,0,2,VAN
1995-12-09,2,0,2,LAK
1995-12-12,0,0,0,DET
1995-12-16,2,1,3,SJS
1995-12-19,0,3,3,NYI
1995-12-22,0,0,0,COL
1995-12-23,1,0,1,WIN
1995-12-26,1,0,1,DET
1995-12-28,2,1,3,DAL
1995-12-30,0,1,1,TOR
1996-01-04,1,1,2,CHI
